,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,car,because
10,laisse,leash
11,ville,city
12,parlé,speak
13,arrivé,come
14,devrait,should
15,longtemps,long time
16,heures,hours
17,vont,will
18,pendant,while
19,revoir,meet again
20,aucune,any
21,étaient,were
22,attention,Warning
23,type,type
24,corps,body
25,endroit,place
26,yeux,eyes
27,façon,way
28,dont,whose
29,perdu,lost
30,première,first
31,côté,side
32,pouvoir,power
33,tiens,here
34,enfant,child
35,point,point
36,venu,came
37,suite,after
38,pardon,sorry
39,venez,come
40,devant,in front of
41,vers,towards
42,chambre,bedroom
43,aimerais,would like to
44,mari,husband
45,cause,cause
46,enfin,finally
47,espère,hope
48,eau,water
49,attendez,Wait
50,parti,left
51,nouvelle,new
52,boulot,job
53,dirait,would say
54,terre,Earth
55,compte,account
56,loin,far
57,fin,end
58,croire,believe
59,gros,large
60,plutôt,rather
61,aura,will have
62,jouer,to play
63,bureau,office
